linha;orange;coerencia;yield;precisao
540;1;0;122;0.674033149
541;1;0;122;0.67032967
542;1;1;123;0.672131148
543;1;1;124;0.673913043
544;1;1;125;0.675675676
545;1;1;126;0.677419355
546;1;0;126;0.673796791
549;1;1;127;0.675531915
553;1;1;128;0.677248677
555;1;1;129;0.678947368
556;1;1;130;0.680628272
557;1;1;131;0.682291667
560;1;1;132;0.683937824
561;1;0;132;0.680412371
566;1;1;133;0.682051282
567;1;1;134;0.683673469
568;1;1;135;0.685279188
569;1;1;136;0.686868687
570;1;1;137;0.688442211
571;1;1;138;0.69
572;1;1;139;0.691542289
574;1;1;140;0.693069307
576;1;1;141;0.694581281
577;1;1;142;0.696078431
579;1;0;142;0.692682927
580;1;1;143;0.694174757
581;1;1;144;0.695652174
582;1;1;145;0.697115385
583;1;1;146;0.698564593
584;1;1;147;0.7
585;1;1;148;0.701421801
587;1;1;149;0.702830189
588;1;1;150;0.704225352
589;1;1;151;0.705607477
590;1;0;151;0.702325581
592;1;0;151;0.699074074
593;1;1;152;0.700460829
595;1;0;152;0.697247706
597;1;1;153;0.698630137
600;1;1;154;0.7
603;1;1;155;0.701357466
604;1;1;156;0.702702703
605;1;1;157;0.704035874
606;1;1;158;0.705357143
607;1;1;159;0.706666667
608;1;1;160;0.707964602
609;1;1;161;0.709251101
610;1;1;162;0.710526316
611;1;1;163;0.711790393
612;1;1;164;0.713043478
613;1;0;164;0.70995671
620;1;1;165;0.711206897
621;1;1;166;0.712446352
622;1;0;166;0.709401709
