linha;mquni;coerencia;yield;precisao
513;1;0;113;0.620879121
514;1;0;113;0.617486339
515;1;0;113;0.614130435
522;1;0;113;0.610810811
523;1;0;113;0.607526882
524;1;0;113;0.604278075
525;1;0;113;0.60106383
536;1;0;113;0.597883598
537;1;1;114;0.6
539;1;1;115;0.602094241
542;1;1;116;0.604166667
543;1;1;117;0.606217617
545;1;1;118;0.608247423
546;1;0;118;0.605128205
548;1;0;118;0.602040816
549;1;1;119;0.604060914
552;1;0;119;0.601010101
553;1;1;120;0.603015075
555;1;1;121;0.605
556;1;1;122;0.606965174
557;1;1;123;0.608910891
565;1;0;123;0.60591133
567;1;1;124;0.607843137
569;1;1;125;0.609756098
570;1;1;126;0.611650485
571;1;1;127;0.61352657
572;1;1;128;0.615384615
574;1;1;129;0.61722488
576;1;1;130;0.619047619
577;1;1;131;0.620853081
579;1;0;131;0.617924528
580;1;1;132;0.61971831
581;1;1;133;0.621495327
582;1;1;134;0.623255814
583;1;1;135;0.625
584;1;1;136;0.626728111
585;1;1;137;0.628440367
587;1;1;138;0.630136986
588;1;1;139;0.631818182
589;1;1;140;0.633484163
592;1;0;140;0.630630631
593;1;1;141;0.632286996
597;1;1;142;0.633928571
600;1;1;143;0.635555556
603;1;1;144;0.637168142
604;1;1;145;0.63876652
605;1;1;146;0.640350877
606;1;1;147;0.641921397
607;1;1;148;0.643478261
608;1;1;149;0.645021645
609;1;1;150;0.646551724
610;1;1;151;0.64806867
611;1;1;152;0.64957265
612;1;1;153;0.65106383
613;1;0;153;0.648305085
620;1;1;154;0.64978903
621;1;1;155;0.651260504
622;1;0;155;0.648535565
641;1;0;155;0.645833333
642;1;0;155;0.643153527
643;1;0;155;0.640495868
644;1;0;155;0.637860082
645;1;0;155;0.635245902
646;1;0;155;0.632653061
647;1;0;155;0.630081301
648;1;0;155;0.627530364
649;1;0;155;0.625
650;1;0;155;0.62248996
653;1;0;155;0.62
661;1;0;155;0.61752988
663;1;0;155;0.615079365
665;1;0;155;0.612648221
667;1;0;155;0.61023622
668;1;0;155;0.607843137
669;1;0;155;0.60546875
670;1;0;155;0.60311284
671;1;0;155;0.600775194
682;1;0;155;0.598455598
683;1;0;155;0.596153846
684;1;0;155;0.593869732
685;1;0;155;0.591603053
686;1;1;156;0.593155894
691;1;1;157;0.59469697
692;1;0;157;0.59245283
693;1;0;157;0.590225564
696;1;1;158;0.5917603
